time_seconds,rf_power,lf_power,rb_power,lb_power,battery_voltage
9.212,-0.0,0.0,0.0,0.0,13.07
9.314,-0.0,0.0,0.0,0.0,13.075000000000001
9.415,-0.0,0.0,0.0,0.0,13.075000000000001
9.517,-0.0,0.0,0.0,0.0,13.079
9.618,-0.0,0.0,0.0,0.0,13.079
9.718,-0.0,0.0,0.0,0.0,13.083
9.820,-0.0,0.0,0.0,0.0,13.088000000000001
9.920,-0.0,0.0,0.0,0.0,13.088000000000001
10.021,-0.0,0.0,0.0,0.0,13.092
10.123,-0.0,0.0,0.0,0.0,13.092
10.225,-0.0,0.0,0.0,0.0,13.088000000000001
